judul,artis,lirik
Cannibal Queen,Miniature Tigers,"14 Contributors
Cannibal Queen Lyrics
[Verse 1]
This is not a test or an SOS
I'm no longer on a quest to get girls undressed
I searched through their hearts and no treasure I found
I'm so lucky this one lets dogs hang around
It's good having somebody good for a change
I thought that no good, dirty cheats had drove me insane
I had finally given up on love and romance
If I lay down the sword, I'm giving my innocence
[Chorus]
Coming for your heart like a cannibal
Oh, she lets me right in, and I'm fed 'til I'm full
If something goes wrong, I'm accountable
Oh, a life without her is no life at all
I la, la, la, la, la, la, la, la, love you, Cannibal Queen
[Verse 2]
If she ever left me I would break down and die
Like Mickey and Piu could bury me alive
Another pretty girl I would love to admire
From a distance, but she's here, so I'll jump in the fire
[Chorus]
Coming for your heart like a cannibal
Oh, she lets me right in, and I'm fed 'til I'm full
If something goes wrong, I'm accountable
Oh, a life without her is no life at all
I la, la, la, la, la, la, la, la, love you, Cannibal Queen

[Solo]
[Chorus]
Coming for your heart like a cannibal
Oh, she lets me right in, and I'm fed 'til I'm full
If something goes wrong, I'm accountable
Oh, a life without her is no life at all
I la, la, la, la, la, la, la, la, love you, Cannibal Queen"
Used To Be The Shit (Miniature Tigers Remix),Skizzy Mars,"14 Contributors
Used To Be The Shit (Miniature Tigers Remix) Lyrics
[Verse 1: Skizzy Mars]
Excuse me
You look something like a lot of arguments in the morning
I bet your last man had you spoiled
And he probably always gave you everything you ever wanted
Well I'm not him, I'm slightly more important
Not the chosen one, I just make the right choices
Type to turn the music up, when they say it's noisy
Baby I'm 21, I'm trying to enjoy it
All about progress, say I'm too forward
""Skizzy, you know this life is gon' destroy you""
Might as well be, ""Skizzy, I'm just trying to annoy you""
All this paranoia, I just wanna smoke and enjoy it
Let her rock with them herbs
Let 'em get on her nerves
Then she kick 'em to the curb
She come back to me, she come back to me
[Chorus: Skizzy Mars]
Girlfriend
We used to be the shit
Seems like I've lost that girl of mine
And I just can't remember
Cuz I was too fucked up last night
Yeah I was too fucked up last night
And I think I made some bad calls last night

[Verse 2]
Ran out of luck with my shenanigans
I be dressing like a Cucinelli mannequin
Shoutout to my team, to my squad and my management
Gave that bitch a glimpse of my life, she couldn't handle it
Went from college to the pros, Julius Randle shit
Sant Ambroeus with the bros, prosciutto sandwiches
Fresh mozzarella, I be on my Hampton shit
You be on that Chrysler 300 gas and phantom shit
I know the palm trees nicer than the cold breeze
Trust me baby, I know things
You want company, I own a company
I wanna kick it with you like Vincent Kompany
So just come with me
Forgive and forget
I fuck up often, I live with the shit
Let's take it casually, she gon' come back with me
Only naturally
[Chorus: Skizzy Mars]
Girlfriend
We used to be the shit
Seems like I've lost that girl of mine
And I just can't remember
Cuz I was too fucked up last night
Yeah I was too fucked up last night
And I think I made some bad calls last night

[Bridge]
Tell me what you're chasin
Tell me what you're looking for
Tell me what your goals and your aims is
Tell me you could take this
You gotta have thick skin, girl you know the city's tainted
Love is never easy
And these bitches is sleazy
So disregard what they saying
And keep the champagne spraying
[Chorus: Skizzy Mars]
Girlfriend
We used to be the shit
Seems like I've lost that girl of mine
And I just can't remember
Cuz I was too fucked up last night
Yeah I was too fucked up last night
And I think I made some bad calls last night"
Rock n’ Roll Mountain Troll,Miniature Tigers,"13 Contributors
Rock n’ Roll Mountain Troll Lyrics
Stoned at 3am and talking to myself in public
I think I really hit a low, don't you think so?
You never leave the house, you never leave the house
Come out, does that make me crazy? oh no
Climb into my wildest thought, oh no
Oh, no
You plucked out Crime and Punishment
From a bookcase under the stairs
The staircase where I stared into your mind
Crying on the curb outside
Makes you look like someone died
You look like me the night I split in two
Climb into the well, Miss Foe
Let us separate you from yourself
Let us separate you from your heart
And thoughts that you can't control
Rock n' roll mountain troll
Living out your life inside a moon
Surrounded by the things you kept
You knew you wanted to
Oh, good grief, I'm tied and bound
Stoned in some hotel downtown
The hotel where I stared into your mind

Floating in the pool upstairs
All I got were nasty stares
You look like me the night I split in two
Climb into the well, Miss Foe
Let us separate you from yourself
Let us separate you from your heart
And thoughts that you can't control
Rock n' roll mountain troll
Living out your life inside a moon
Surrounded by the things you kept
You knew you wanted to
[Instrumental]
Climb into the well, Miss Foe
Let us separate you from yourself
Let us separate you from your heart
And thoughts that you can't control
Rock n' roll mountain troll
Living out your life inside a moon
Surrounded by the things you bet
You knew you wanted to

[Instrumental]"
Tell It to the Volcano,Miniature Tigers,"4 Contributors
Tell It to the Volcano Lyrics
[Verse 1]
You can hang on to me
But my love won't surround you
Now that you're finally gone I am free to
Get on with my life (oh, oh oh, oh)
You can summon all the guys
That your black heart desires
They can not help you 'cause they're starting fires
To burn you alive
[Pre-Chorus]
Tell it to the volcano
From what I know, you're goin' down the hole
[Chorus]
Down you go, down the hole
Tell it to the volcano
Save your ""sorrys""
Tell it to the volcano
[Verse 2]
A year ago today, I was fallin' in love with you
I didn't know how I could tell you
You were breaking my heart, shrinking my head
I couldn't get out of my bed

[Pre-Chorus]
Tell it to the volcano
From what I know, you're goin' down the hole
[Chorus]
Down you go, down the hole
Tell it to the volcano
Save your ""sorrys""
Tell it to the volcano
[Interlude]
[Bridge]
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya down
Oom, I'd like to chuck ya
Oom, I'd like to throw away the pain (oh, oh oh)
You're cryin' and you're screaming'
And you're beggin' not to go
Tell it to the volcano

[Chorus + Bridge]
Down you go, down the hole
Tell it to the volcano
Save your ""sorrys""
Tell it to the volcano
[Outro]
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya
Oom, I'd like to chuck ya down"
Last Night’s Fake Blood,Miniature Tigers,"4 Contributors
Last Night’s Fake Blood Lyrics
[Chorus]
Washing off last night's fake blood
From an even faker cut
Some poor girl's bleeding, bleeding
All over everything I own
[Verse 1]
Merry Christmas, 
Hare Krishnas
Don't you wish you had it as good as I do?
Nothing new to report from the floor of the airport
Oh, oh, oh
They took my baby
They took it from me
That's the worst thing you could have done to yourselves
Now I'm out for black magic revenge
On all of your friends
There's a pet death coming
[Chorus]
Washing off last night's fake blood
From an even faker cut
Some poor girl's bleeding, bleeding
All over everything I own
[Verse 2]
Diamond death
There's nothing left
For you and me
But a maker cut down from a family tree
Its leaves changing
Now everything's gonna change
Oh

[Chorus]
Washing off last night's fake blood
From an even faker cut
Some poor girl's bleeding, bleeding
All over everything I own
[Bridge]
Take my shrunken head from your shelf
Witch doctor with your potions and spells
You're just another evil girl I will have to forget
It's such a fantasy with her, I don't have to pretend
That this isn't happening to me again
Don't look here when you lose your friends
Yeah, you can disrobe, take off all of your clothes
Look at you now, you're the one's who's exposed
(Oooh, Oooh x14)"
The Wolf,Miniature Tigers,"9 Contributors
The Wolf Lyrics
[Verse 1]
Add nice, sugar and spice
I'll take you on a cruise to somewhere nice
You haven't been before
Love was meant for more
You moved up close, I could feel your sweat
I kissed you on the neck, and you got wet
It's a shallow treat for a guy like me
[Chorus]
Everybody's looking at you like they want to
Like they want to go home with you
Everybody's looking at you like they want to
Everybody's looking at you like they want to
Everybody's looking at you like they want to
Like they want to go home with you
[Verse 2]
I've got nothin' keeping me here
I've wasted all the love that I hold dear
I'll throw a dart: L.A. 
The wolf has run away
The guy you know thinks he's so slick
He'll kiss you on the lips, but he'll get sick
Lothario
He's a creep, you know

[Chorus]
Everybody's looking at you like they want to
Like they want to go home with you
Everybody's looking at you like they want to
Everybody's looking at you like they want to
Everybody's looking at you like they want to
Like they want to go home with you
[Verse 3]
I'm on your trail, I can smell your blood
I've had enough of unrequited love
It's the coast I crave
Leads me to my grave
Fillin' my head was the sick of my spine
Give it up, and I will make you mine
I will buy you things
Like diamond rings
[Chorus]
Everybody's looking at you like they want to
Like they want to go home with you
Everybody's looking at you like they want to
Everybody's looking at you like they want to
Everybody's looking at you like they want to
Like they want to go home with you"
Ice Cream,Tydus,"12 Contributors
Ice Cream Lyrics
[Intro]
Hey, everybody, do you know what time it is? (Yeah!)
It’s ice cream time! (Woo!)
Let’s go! (Okay)
[Verse 1]
I got the cookie dough, I wanna say hello
Chocolate or vanilla, Tydus is your fella
Scoopin' it cold, coolest four-year-old
Cookies and cream, that’s my dream!
[Chorus]
Ice cream, ice cream, I be sellin' ice cream
I be makin' ice cream, icy, icy, ice cream
Ice cream, ice cream, I be sellin' ice cream
I be makin' ice cream, icy, icy, ice cream
[Post-Chorus]
I scream (Woo!)
You scream (Ahh!)
I scream (Woo!)
You scream (Ahh!)
[Verse 2]
Mint chocolate chip, watch me do the dip
Let’s get strawberry, I love it with a cherry
Taste buds explode when I eat the rocky road
My day is lookin' up after peanut butter cup
I want a waffle cone, watchin' 
Game of Thrones
When I need a snack, give me moose tracks
Snow cones, Gelatos, Oreos, I got those
Double scoop? I’m on that, let’s chill out and play that

[Chorus]
Ice cream, ice cream, I be sellin' ice cream
I be makin' ice cream, icy, icy, ice cream
Ice cream, ice cream, I be sellin' ice cream
I be makin' ice cream, icy, icy, ice cream
[Post-Chorus]
I scream (Woo!)
You scream (Ahh!)
I scream (Woo!)
You scream (Ahh!)
I scream (Woo!)
You scream (Ahh!)
I scream (Woo!)
You scream (Ahh!)"
Zona Nyaman,Fourtwnty,"5 Contributors
Zona Nyaman Lyrics
[Verse 1]
Pagi ke pagi ku terjebak di dalam ambisi
Seperti orang-orang berdasi yang gila materi
Rasa bosan membukakan jalan mencari peran
Keluarlah dari zona nyaman
[Chorus]
Sembilu yang dulu
Biarlah berlalu
Bekerja bersama hati
Kita ini insan bukan seekor sapi
Sembilu yang dulu
Biarlah membiru
Berkarya bersama hati
[Verse 2]
Waktu ke waktu perlahan kurakit egoku
Merangkul orang-orang yang mulai sejiwa denganku
Ke-BM-an membukakan jalan mencari teman
Bergeraklah dari zona nyaman
[Chorus]
Sembilu yang dulu
Biarlah berlalu
Bekerja bersama hati
Kita ini insan bukan seekor sapi
Sembilu yang dulu
Biarlah membiru
Berkarya bersama hati

[Interlude]
Diam dan mati
Milik dia yang tak bisa berdiri, berdiri
Diam dan mati
Milik dia yang tak bisa berdiri
Berdiri di kakinya sendiri
[Chorus]
Sembilu yang dulu
Biarlah berlalu
Bekerja bersama hati
Kita ini insan bukan seekor sapi
Sembilu yang dulu
Biarlah membiru
Berkarya bersama hati
Kita ini insan bukan seekor sapi
[Outro]
Tanamkan pesanku
Agar tak keliru
Bekerja bersama hati"
Nyaman,Andmesh,"3 Contributors
Nyaman Lyrics
[Lirik ""Nyaman""]
[Verse 1]
Lama sudah ku menanti
Banyak cinta datang dan pergi
Tapi tak pernah aku senyaman ini
Mungkin dirimu lah cinta sejati
Tak akan ku ragu lagi, hey
Ku jaga sampai ke ujung nadi
Takkan ku sia-siakan lagi
Buat hidupku lebih berarti
[Chorus]
Cintamu senyaman mentari pagi
Seperti pelangi, selalu kunanti
Cintamu tak akan pernah terganti
Selamanya dihati
Aku bahagia, milikimu seutuhnya
Ooh, woah, ooh
[Verse 2]
Tak akan ku ragu lagi
Ku jaga sampai keujung nadi
Takkan kusia siakan lagi
Buat hidupku lebih berarti

[Chorus]
Cintamu senyaman mentari pagi
Seperti pelangi, selalu kunanti
Cintamu tak akan pernah terganti
Selamanya dihati
Aku bahagia, milikimu seutuhnya
Woah, ooh
[Bridge]
Takkan ku sia siakan lagi
Buat hidupku lebih berarti
Ooh, selalu kunanti
Selamanya di hati
Aku bahagia
[Coda]
Cintamu senyaman mentari pagi
Seperti pelangi, selalu kunanti
Cintamu tak akan pernah terganti
Selamanya dihati
Aku bahagia, milikimu seutuhnya
Aku bahagia, ooh
Aku bahagia, milikimu seutuhnya"
Malu Malu Tapi Nyaman,Lyodra,"1 Contributor
Malu Malu Tapi Nyaman Lyrics
[Lirik ""Malu Malu Tapi Nyaman""]
[Intro]
(Oh, oh, oh, oh)
(Oh, oh, oh, oh)
[Verse 1]
Awalnya 'ku 'tak mau
Kenal cinta
Dan kau hadir merubah
Rasa yang ada
[Pre-Chorus]
'Ku berpura-pura biasa
Saat tatap mata
Padahal 'tak bisa (Oh, biasa saja)
[Chorus]
Anehnya mencinta
Pertemuan yang tiba-tiba 'tak 'ku duga
Kita berdua, malu-malu tapi nyaman
Haruskan 'ku beri pertanda
Sampai kamu nantinya peka bila aku (Aku)
Ada rasa (Rasa), cepatlah sadar sebelum 'ku berubah
[Verse 2]
Kau yang ajak bicara
Dan bercanda
'Ku ('Ku) 'tak sadar ('Tak sadar) betapa
'Ku inginkanmu

[Pre-Chorus]
'Ku berpura-pura biasa (Pura-pura)
Saat tatap mata
Padahal 'tak bisa (Oh, biasa saja)
[Chorus]
Anehnya mencinta
Pertemuan yang tiba-tiba 'tak 'ku duga
Kita berdua, malu-malu tapi nyaman
Haruskan 'ku beri pertanda
Sampai kamu nantinya peka bila aku (Aku)
Ada rasa (Rasa), cepatlah sadar sebelum 'ku berubah (Berubah)
[Bridge]
Di setiap saat (Setiap saat)
'Ku pikirkan dirimu, ooh (Oh, oh)
'Ku inginkan cintamu
Untuk selamanya (Untuk selamanya)
[Chorus]
(Anehnya mencinta, mencinta)
Pertemuan yang tiba-tiba 'tak 'ku duga ('Tak 'ku duga)
Kita berdua, malu-malu tapi nyaman (Ooh, haruskan 'ku)
Haruskan 'ku beri pеrtanda
Sampai kamu nantinya peka bila aku (Aku)
Ada rasa (Rasa), cepatlah sadar sebеlum 'ku berubah

[Outro]
(Oh, oh, oh, oh)"
"Nissan X-Trail, Mobil SUV Paling Tangguh dan Nyaman",Nissan,"1 Contributor
Nissan X-Trail, Mobil SUV Paling Tangguh dan Nyaman Lyrics
Nissan X-Trail, Mobil SUV Paling Tangguh dan Nyaman – Siapa yang tak kenal dengan mobil SUV ternama keluaran Nissan ini. Mobil yang sangat cocok untuk dipakai disegala kondisi jalan yang akan membuat Anda makin Sporty dan Nyaman. Selain segmen mobil MPV, pasar SUV di Indonesia pun kini kian banyak diminati oleh para konsumen di Indonesia. Salah satu produk SUV yang sampai saat ini banyak peminatnya yaitu Nissan X-Trail. Nah, pada kali ini kami akan membahas tentang Nissan X-Trail, Mobil SUV Paling Tangguh dan Nyaman."
Nyaman Tak Cukup,Raisa,"1 Contributor
Nyaman Tak Cukup Lyrics
Semakin lama semakin terasa
Jarak dan sikapmu yang seperlunya
Kita bicara
Dan kita masih sama
Saling sayang dan yang paling nyaman
Tapi katamu itulah masalahnya
Tanpa misteri cinta tiada rasa
Sahabat terdekat itu yang kau lihat
Begitu berharga tapi sayangnya
Nyaman tak cukup
Kau butuh tantangan, rayuan, jebakan
Semua yang membuatmu
Penasaran dan deg-degan
Tak ada lagi
Nyaman tak cukup
Aku tak cukup
Ku rumah yang aman
Kau temukan kenyamananmu yang sempurna
Begitu berharga tapi sayangnya
Sungguh sayangnya
Nyaman tak cukup
Kau butuh tantangan, rayuan, jebakan
Semua yang membuatmu
Penasaran dan deg-degan
Tak ada lagi
Nyaman tak cukup
Kau butuh tantangan, rayuan, jebakan
(Semua yang membuatmu)
Penasaran dan deg-degan
Tak ada lagi
Nyaman tak cukup
Aku tak cukup"
Nyaman,Eclat Story,"1 Contributor
Nyaman Lyrics
[Verse 1]
Lama sudah ku menanti
Banyak cinta datang dan pergi
Tapi tak pernah aku senyaman ini
Mungkin dirimu lah cinta sejati
Tak akan ku ragu lagi
Ku jaga sampai ke ujung nadi
Takkan ku sia-siakan lagi
Buat hidupku lebih berarti
[Chorus]
Cintamu senyaman mentari pagi
Seperti pelangi, selalu kunanti
Cintamu tak akan pernah terganti
Selamanya di hati
Aku bahagia milikimu seutuhnya
[Verse 2]
Tak akan ku ragu lagi
Ku jaga sampai ke ujung nadi
Takkan ku sia-siakan lagi
Buat hidupku lebih berarti
[Chorus]
Cintamu senyaman mentari pagi
Seperti pelangi, selalu kunanti
Cintamu tak akan pernah terganti
Selamanya di hati
Aku bahagia milikimu seutuhnya

[Bridge]
Takkan ku sia-siakan lagi
Buat hidupku lebih berarti
[Chorus]
Cintamu senyaman mentari pagi
Seperti pelangi, selalu kunanti
Cintamu tak akan pernah terganti
Selamanya di hati
Aku bahagia, milikimu seutuhnya
(Percaya aku takkan ke mana-mana)
(Aku 'kan selalu ada temani hingga hari tua)
Cintamu tak akan pernah terganti
(Percaya aku takkan ke mana-mana)
Selamanya di hati
(Setia akan kujaga)
Aku bahagia
(Kita teman bahagia)
Aku bahagia, milikimu seutuhnya"
Terlalu Nyaman,Eyojase,"1 Contributor
Terlalu Nyaman Lyrics
Suatu hari ketika ku berdiri menatap matahari
Akankah aku seperti apa nanti?
Jikalau aku selalu merasa sendiri disetiap ku berlari-lari
Mencari arti dari sebuah mimpi
Berharap menemukan jalan yang tepat
Walau memang tak mungkin selalu cepat
Ketika ku berjalan
Ku menemukan harapan
Dirimu kian menjadi teman
Lalu menjadi seorang yang sangat dekat hingga pekat bagiku diriku seolah
Hanya kau yang membuat diriku begitu nyaman
Entah mengapa semua rasa sakit hati yang dulu seketika
Pergi entah kemana, ada yang tau jawabannya?
Superman ga ada apa apanya dibandingkan aku
Kuat selalu tak mengeluh
Andai emang kau ingin tetap disebelahku
Tolong jangan kau meninggalkan diriku ohhh
Aku sudah terlalu , terlalu nyaman padamu
Aku tak mau kau menghilang dariku oohhh
Aku sudah terlalu, terlalu sayang padamu
Pegang satu janji yang harus aku tahu
Agar saatnya tiba aku tau mesti apa
Walau kadang rasa hati ingin memiliki
Tapi ku tahu aku bukan seseorang yang di hati

Ku akan terus mencoba tetaplah disebelah ku
Ku akan terus bersyukur kau hadir di hidupku
Kau dan aku
Kita slalu
Tertawa mulu sampai dunia tau
Biarkan biarkan aku mencoba
Ku jaga ku jaga perasaaannya
Tak akan ku biarkan seseorang mengambilnya
Terlalu nyaman aku ketika bersamanya
Aku Bawa perasaan ketika dia disisiku
Bicarakan tentang cinta andai dia milikku
Lupakan Rasa sakit karna aku akan tahu
Selalu nyaman hatiku di sisimu
Tolong jangan kau meninggalkan diriku ohhh
Aku sudah terlalu , terlalu nyaman padamu
Aku tak mau kau menghilang dariku oohhh
Aku sudah terlalu, terlalu sayang padamu (x3)"
Cari Mobil yang Nyaman dan Tangguh ?,Sitampan.com,"1 Contributor
Cari Mobil yang Nyaman dan Tangguh ? Lyrics
Anda suka bepergian ? Tamasya, bertualang atau piknik bersama keluarga ? Anda mungkin terpikir membutuhkan sebuah media yang bernama mobil. Namun mobil apa yang Anda butuhkan ? Ketika hendak tamasya, memang lebih asiknya menggunakan mobil sendiri. Selain lebih leluasa, juga karena lebih menikmati suasana dan perjalanan sehingga lebih terasa. Namun mobil apa yang cocok untuk ini ?
Jika Anda ingin membeli mobil, ini bukan perkara yang mudah bukan ? Ada banyak brand mobil di luar sana. Ada Toyota, Daihatsu, Nissan dan masih banyak lagi. Ini makin membuat kita jadi bingung bukan ?
Kendaraan mobil masih dibutuhkan meski kondisi jalan makin parah macetnya. Kendaraan mobil ini dibutuhkan oleh para keluarga yang memiliki anggota keluarga yang cukup banyak. Apalagi kalau semuanya suka piknik ? Oleh karena itu diperlukan mobil dengan keunggulan memiliki kabin yang luas, dan nyaman di dalamnya sehingga keluarga bisa lebih menikmati perjalanan.
Mau mencari mobil yang nyaman untuk Anda, atau mobil yang tangguh, mobil yang awet dan mobil yang tahan lama, tahan banting ? Untuk Anda yang ingin mendapatkan rekomendasi mobil, simak tips selengkapnya di
http://www.sitampan.com/tips-memilih-mobil-yang-tepat-dan-nyaman"
Nyaman,CLOSE TO BREATHE,"1 Contributor
Nyaman Lyrics
Disudut kota ini kau tuangkan
Kemesraan dibalut kehangatan
Terbit indah mentari, senyum yang
Membuat nyaman hingga egoku terabaikan
Dan bertanya
Semua ini kan selamanya
Tanpa cela…
Dalam bayang
Hatiku lemah tak bernyawa
Dan kau datang
Kau hadirkan nuansa
Membawa warna yang bermakna
Anyaman cinta datang tak pernah ku sangka
Isyaratkan mimpi yang tak pernah ku duga
Hadirkan dalam raung hidupku yang hampa
Alirkan hasrat menyulih bisikan dunia
Dan bertanya
Semua ini kan selamanya
Tanpa celah…
Dalam bayang
Hatiku lemah tak bernyawa
Dan kau datang
Membawa warna yang bermakna
Suci kasih
Pesona setia keagungan
Tutur lembut
Indah hadirkan pesona
Laku agung manjakan dunia

Dalam bayang, hatiku lemah tak bernyawa
Dan kau datang, membawa warna yang bermakna"
Я буду ебать (I Will Fuck),Moreart,"14 Contributors
Я буду ебать (I Will Fuck) Lyrics
[Текст песни «Я буду ебать» ft. IHI]
[Интро: Moreart]
Чё, сука? Чё, сука? (Пр-р)
Чё, сука? (Да, пр-р) Чё, сука? (Нигга)
Где моя сука? (Чё-чё, сука?)
А, эй (Да)
[Припев: Moreart]
Я буду ебать и лепить контент
Буду добивать будто бы «ганбей»
Сука, понимай мой стиль и сленг
Я буду ебать, как доллары тенге
Я буду ебать и лепить контент
Буду добивать будто бы «ганбей»
Сука, понимай мой стиль и слэнг
Я буду ебать, как доллары тенге
[Куплет 1: IHI]
Бетің ам да, бері қара
Абекеңе салам саласынба
Терең ашулы бәрі, бәрі
Бәрің койш сен, текпен, кеткен, мефпен
Әры кет сен, мен сені сіккем
Ойбой, сен мынайқтасың ғой, shit
Енді меннен күлкі кет
Бетіңе тамшы тамад кәз кет (Да-да-да-да)

[Бридж: Moreart]
Я стреляю громко будто как Кобейн
Деньги — это так, чтобы тратить на ещё upgrade
Да, это «CORD» — мы по делу и мы кратки (Да-да-да-да-да-да-да-да)
Мы сюда пришли делать бабки
[Припев: Moreart]
Я буду ебать и лепить контент
Буду добивать будто бы «ганбей»
Сука, понимай мой стиль и сленг
Я буду ебать, как доллары тенге
Я буду ебать и лепить контент
Буду добивать будто бы «ганбей»
Сука, понимай мой стиль и слэнг
Я буду ебать, как доллары тенге
[Куплет 2: Moreart]
(Тики-тики-тики) Чтобы поднимать зад мне не нужен повод (Ага) Я сегодня снова ощущаю первобытный голод
Вырубаю баще я ударной дозы димедрола
И работаю руками будто гинеколог
Че там, брат, брат? Где мой контракт? (А)
Да, я строю из себя, я как Трамп, Трамп, Трамп (Трамп)
Конкурентам посоветую закрыться (Да, эй)
Передай привет тем кому уже за тридцать
[Бридж: Moreart]
Я стреляю громко будто как Кобейн
Деньги — это так, чтобы тратить на ещё upgrade
Да, это «CORD» — мы по делу и мы кратки (Да-да-да-да-да-да-да-да)
Мы сюда пришли делать бабки

[Припев: Moreart]
Я буду ебать и лепить контент
Буду добивать будто бы «ганбей»
Сука, понимай мой стиль и сленг
Я буду ебать, как доллары тенге
Я буду ебать и лепить контент
Буду добивать будто бы «ганбей»
Сука, понимай мой стиль и слэнг
Я буду ебать, как доллары тенге"
Manusia Kuat,Tulus,"8 Contributors
Manusia Kuat Lyrics
[Lirik ""Manusia Kuat""]
[Verse 1]
Kau bisa patahkan kakiku
Tapi tidak mimpi-mimpiku
Kau bisa lumpuhkan tanganku
Tapi tidak mimpi-mimpiku
[Verse 2]
Kau bisa merebut senyumku
Tapi sungguh tak akan lama
Kau bisa merobek hatiku
Tapi aku tahu obatnya
[Chorus]
Manusia-manusia kuat itu kita
Jiwa-jiwa yang kuat itu kita
Manusia-manusia kuat Itu kita
Jiwa-jiwa yang kuat itu kita
[Verse 3]
Kau bisa hitamkan putihku
Kau takkan gelapkan apapun
Kau bisa runtuhkan jalanku
Kan kutemukan jalan yang lain

[Chorus]
Manusia-manusia kuat itu kita
Jiwa-jiwa yang kuat itu kita
Manusia-manusia kuat itu kita
Jiwa-jiwa yang kuat itu kita
[Bridge]
Bila bukan kehendak-Nya
Tidak satu pun culasmu akan bawa bahaya
[Chorus]
Manusia-manusia kuat itu kita
Jiwa-jiwa yang kuat itu kita
Manusia-manusia kuat itu kita
Jiwa-jiwa yang kuat itu kita
Manusia-manusia kuat itu kita
Jiwa-jiwa yang kuat itu kita
Manusia-manusia kuat itu kita
Jiwa-jiwa yang kuat itu kita
[Outro]
Kau bisa patahkan kakiku
Patah tanganku rebut senyumku
Hitamkan putihnya hatiku
Tapi tidak mimpi-mimpiku"
Kuat Kita Bersinar,Superman Is Dead,"2 Contributors
Kuat Kita Bersinar Lyrics
Ku tatap dunia
Terasa perih luka di dada
Pertempuran manusia yang
Buta indahnya perbedaan
Oh.. Indahnya
Kau bisa engkau pun bisa
Melupakan kebencian yang ada
Bersama kita terluka
Bersama kita bisa tertawa
Dan tertawa...
Ayo bangun dunia di dalam perbedaan
Jika satu kita kuat kita bersinar
Harus percaya tak ada yang sempurna
Dan dunia kembali tertawa
Bayangkan dan senyumlah
Mahkota emas tiada artinya
Ketika raja dan ratu
Pemimpin dunia semua bersatu
Dan bersatu....
Jabat erat tangan ku kawan
Kau tak akan pernah sendiri
Hancurkan dendam
Dengan cinta di dada
Untuk semua manusia"
Like Summer,Kyan Asabi,"5 Contributors
Like Summer Lyrics
[Verse 1]
Do you know where I've been?
Did you wonder where I went?
I've been asleep for the last year
Skipping on life
Saved a ton on the rent
Checking in to the nightmare
A key card for my descent
I stayed down on the bottom floor
Stuck in four walls that I wouldn't recommend
No-o-o-oo
[Pre-Chorus]
And I've never felt that down
I've been to the edge and back around now
And I never thought I'd make it out
Woo-oo-oo-oo-oo
[Chorus]
Now I'm awake
Everything feels like summer
Everything feels like summer
Now I'm awake
Everything feels like summer
[Verse 2]
Did you know I was gone?
Can you remember when?
I've been asleep for the last year
I was so tired
Maybe it was heaven sent
Was there a dream inside the nightmare?
Maybe I'd do it all again
'Cause if I hadn't seen the nightmare
Looping down there
It could still be cold up here

[Chorus]
Now I'm awake
Everything feels like summer
Everything feels like summer
Now I'm awake
Everything feels like summer
Ooh ooh ooh ooh
[Instrumental interlude]
[Chorus]
Now I'm awake
(Everything feels like)
Everything feels like summer
Everything feels like summer
Now I'm awake
(Everything feels like)
Everything feels like summer
[Outro]
I've never felt that down
I've been to the edge and back around now
I never thought I'd make it out
Everything feels like summer"
Insert Runaway,Kyan Asabi,"4 Contributors
Insert Runaway Lyrics
[Chorus]
I think that you should (run away)
And be free
Take a horse and just (run away)
With me
You know I wanna (run away)
With you
I’ll meet you by the ocean
I’ll meet you by the blue
When I write you a letter
I can’t say what what I wanna
We’ve tried that invisible…
But your 
chaperone's
 clever
And I don’t wanna… With him like that
I miss you more than I wanna
I’d give up my family honour
To hold you like I need
We could live in-between these sheets
Cause I… With you like that
[Chorus]
I think that you should (run away)
And be free
Take a horse and just (run away)
With me
You know I wanna (run away)
With you
I’ll meet you by the ocean
I’ll meet you by the blue

Maybe in the future, in the year 2000
Love will be for everyone
No matter what
Or where their from
There'll be freedom
(But 'til that day, read this and insert ""runaway"")
[Chorus]
I think that you should (run away)
And be free
Take a horse and just (run away)
With me
You know I wanna (run away)
With you
I’ll meet you by the ocean
I’ll meet you by the blue"
L.A.,Kyan Asabi,"2 Contributors
L.A. Lyrics
[Verse 1]
I just booked myself a ticket to L.A
Like the sun can burn away the pain
Like the girls can fuck away the heartache
I wish I could fuck away the heartache
And I been writing down my feelings like a teenager
As if words can write the hurt away
Like the pen can draw away the heartache
I wish I could draw away the heartache
[Chorus]
And everybody tells me that I'm coping
But it doesn't feel that way
You're everywhere I go
In everything I know, always
I need you, I need you, I need you
[Verse 2]
I been lying on this sofa for a week
Five thousand miles away from where you sleep
Like the distance is a cure
But I only miss you more and more and more
[Chorus]
And everybody tells me that I'm coping
But it doesn't feel that way
You're everywhere I go
In everything I know, always
I need you, I need you, I need you
(I need you, I need you, I need you
I need you, I need you, I need you)"
